epoch (ms),time (05:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1.52613E+12,2018-05-12T16.54.11.789,285.038,200.488,-111.037,-93.902
1.52613E+12,2018-05-12T16.54.11.789,285.038,157.256,-140.488,-84.695
1.52613E+12,2018-05-12T16.54.11.789,285.038,170.61,-38.171,-30.915
1.52613E+12,2018-05-12T16.54.11.804,285.053,141.951,-30.976,20.244
1.52613E+12,2018-05-12T16.54.11.804,285.053,88.476,-8.293,22.561
1.52613E+12,2018-05-12T16.54.11.804,285.053,53.659,47.439,38.049
1.52613E+12,2018-05-12T16.54.11.808,285.057,52.378,99.39,30.061
1.52613E+12,2018-05-12T16.54.11.808,285.057,83.72,153.232,6.22
1.52613E+12,2018-05-12T16.54.11.808,285.057,94.512,192.683,-15.61
1.52613E+12,2018-05-12T16.54.11.868,285.117,69.634,224.085,-25.122
1.52613E+12,2018-05-12T16.54.11.868,285.117,28.78,274.085,-11.707
1.52613E+12,2018-05-12T16.54.11.868,285.117,-11.28,330.366,3.11
1.52613E+12,2018-05-12T16.54.11.926,285.175,-47.561,375.854,3.841
1.52613E+12,2018-05-12T16.54.11.926,285.175,-100.915,378.415,9.939
1.52613E+12,2018-05-12T16.54.11.926,285.175,-133.11,400.366,39.024
1.52613E+12,2018-05-12T16.54.12.143,285.392,-124.939,457.988,67.988
1.52613E+12,2018-05-12T16.54.12.143,285.392,-107.378,507.866,67.317
1.52613E+12,2018-05-12T16.54.12.143,285.392,-117.378,514.329,41.22
1.52613E+12,2018-05-12T16.54.12.145,285.394,-133.049,469.451,4.878
1.52613E+12,2018-05-12T16.54.12.145,285.394,-87.439,449.085,-54.939
1.52613E+12,2018-05-12T16.54.12.145,285.394,12.927,507.5,-146.829
1.52613E+12,2018-05-12T16.54.12.289,285.538,101.22,589.329,-246.098
1.52613E+12,2018-05-12T16.54.12.289,285.538,162.744,638.415,-341.281
1.52613E+12,2018-05-12T16.54.12.289,285.538,230.671,663.476,-454.085
1.52613E+12,2018-05-12T16.54.12.290,285.539,337.805,670.427,-578.049
1.52613E+12,2018-05-12T16.54.12.290,285.539,467.866,703.537,-653.598
1.52613E+12,2018-05-12T16.54.12.290,285.539,554.39,770.122,-673.537
1.52613E+12,2018-05-12T16.54.12.342,285.591,569.329,706.707,-643.476
1.52613E+12,2018-05-12T16.54.12.342,285.591,533.598,538.598,-608.049
1.52613E+12,2018-05-12T16.54.12.342,285.591,506.707,387.317,-555.549
1.52613E+12,2018-05-12T16.54.12.438,285.687,482.378,279.939,-491.768
1.52613E+12,2018-05-12T16.54.12.438,285.687,459.451,168.415,-454.329
1.52613E+12,2018-05-12T16.54.12.438,285.687,458.232,84.878,-420.305
1.52613E+12,2018-05-12T16.54.12.577,285.826,469.268,92.622,-391.951
1.52613E+12,2018-05-12T16.54.12.577,285.826,512.683,109.512,-317.683
1.52613E+12,2018-05-12T16.54.12.577,285.826,530.183,85.244,-230.854
1.52613E+12,2018-05-12T16.54.12.612,285.861,454.207,3.598,-154.634
1.52613E+12,2018-05-12T16.54.12.612,285.861,387.073,-111.707,-98.049
1.52613E+12,2018-05-12T16.54.12.612,285.861,377.378,-140.061,-86.098
1.52613E+12,2018-05-12T16.54.12.688,285.937,387.012,-86.585,-81.951
1.52613E+12,2018-05-12T16.54.12.688,285.937,381.524,-12.5,-45.305
1.52613E+12,2018-05-12T16.54.12.688,285.937,368.049,6.829,12.256
1.52613E+12,2018-05-12T16.54.12.692,285.941,353.781,-31.037,62.5
1.52613E+12,2018-05-12T16.54.12.692,285.941,342.622,-47.195,88.232
1.52613E+12,2018-05-12T16.54.12.692,285.941,334.268,-21.707,113.902
1.52613E+12,2018-05-12T16.54.12.770,286.019,351.159,29.817,150.976
1.52613E+12,2018-05-12T16.54.12.770,286.019,381.281,81.22,175.61
1.52613E+12,2018-05-12T16.54.12.770,286.019,390,121.037,156.402
1.52613E+12,2018-05-12T16.54.12.787,286.036,363.049,169.39,46.768
1.52613E+12,2018-05-12T16.54.12.787,286.036,265.549,211.403,-106.707
1.52613E+12,2018-05-12T16.54.12.787,286.036,211.463,223.598,-370.244
