elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
7.837,8.354,-1.22,28.354
7.837,6.707,-4.268,30.366
7.837,6.646,-5.793,31.646
7.867,7.195,-7.012,32.439
7.867,5.915,-8.415,32.317
7.867,5.671,-8.476,30.671
7.897,5.61,-8.598,29.695
7.897,5.549,-7.805,29.207
7.898,7.439,-5.671,28.963
7.919,10.427,-1.037,28.841
7.919,8.11,2.439,28.232
7.919,4.39,2.744,27.134
7.95,2.622,1.098,25
7.951,-0.244,-0.671,21.829
7.951,-3.598,1.098,19.39
7.979,-5.854,2.012,16.951
7.979,-5,3.11,15.183
7.98,-5.793,5.305,13.415
8.01,-9.329,7.866,12.134
8.01,-11.768,10.305,10.427
8.01,-12.927,11.28,9.146
8.04,-15.488,9.451,8.415
8.04,-18.72,6.89,8.171
8.04,-20.915,5.732,8.415
8.07,-21.829,4.451,8.11
8.071,-19.695,1.768,7.195
8.071,-16.524,0.244,5.976
8.099,-15.671,2.317,4.329
8.099,-16.707,4.573,3.354
8.1,-16.22,4.817,2.744
8.129,-13.841,3.537,1.89
8.13,-13.841,0.122,1.768
8.13,-16.707,-4.085,2.195
8.161,-19.756,-9.268,2.988
8.161,-22.317,-16.951,3.78
8.161,-24.146,-26.707,4.207
8.19,-25.61,-36.707,5.061
8.19,-23.537,-36.463,6.402
8.19,-20.61,-25.793,6.829
8.219,-16.524,-12.439,6.951
8.219,-9.024,1.098,6.402
8.219,-4.024,10.915,5.061
8.257,-3.72,11.524,3.476
8.257,-2.378,5.671,1.585
8.257,-0.793,-1.768,-0.183
8.28,-3.902,-8.598,-0.366
8.28,-9.024,-9.939,0.122
8.28,-10.793,-7.988,0
8.309,-9.329,-5.732,-0.366
8.31,-7.317,-5.976,-1.463
8.31,-4.634,-6.28,-2.622
8.34,-3.049,-4.573,-4.024
8.34,-3.72,-1.159,-5.244
8.34,-5.732,0.915,-5.915
8.37,-5.61,-1.098,-6.22
8.37,-2.256,-6.22,-6.463
8.37,-1.768,-12.378,-6.585
8.393,-5.427,-16.585,-6.28
8.393,-7.195,-16.646,-6.098
8.393,-5.732,-12.5,-5.976
8.422,-5.854,-4.573,-7.012
8.422,-6.524,5.915,-8.902
8.422,-6.159,11.951,-10.549
8.452,-7.195,10.671,-11.159
8.452,-10.488,1.402,-10.427
8.452,-13.415,-11.463,-7.744
8.482,-16.707,-20.732,-4.634
8.482,-20.61,-26.402,-2.561
8.482,-21.585,-30.488,-1.463
8.52,-19.939,-28.72,-0.976
8.52,-17.927,-18.841,-1.037
8.52,-14.573,-3.476,-2.5
8.542,-9.939,9.085,-5.549
8.542,-7.195,12.073,-8.659
8.542,-6.341,10.183,-10.793
8.572,-6.159,10.427,-11.768
8.572,-5.305,12.012,-12.866
8.572,-3.415,12.195,-13.11
8.602,-3.171,10.305,-13.415
8.602,-3.171,8.232,-13.354
8.602,-1.402,7.256,-12.683
8.632,0.244,7.195,-11.89
8.632,-0.366,7.683,-10.549
8.632,-2.622,8.171,-9.085
8.662,-4.39,6.707,-7.866
8.662,-3.415,5.61,-7.561
8.662,-2.988,5.244,-7.744
8.692,-4.695,5.549,-7.866
8.692,-7.561,6.22,-7.561
8.692,-10.61,6.89,-6.037
8.745,-11.28,6.585,-4.268
8.745,-7.561,5.427,-2.988
8.745,-2.683,4.695,-2.317
8.752,0.061,5.915,-2.927
8.752,1.646,10.183,-4.085
8.752,2.622,15.122,-5.793
8.789,3.902,18.963,-7.195
8.79,4.451,22.012,-7.988
8.79,4.695,24.146,-8.537
8.812,5.122,25.244,-8.78
8.812,4.756,24.695,-7.805
8.812,4.451,23.72,-6.037
8.844,6.098,23.537,-3.354
8.844,7.927,22.5,-0.732
8.844,8.415,19.695,1.402
8.881,7.439,15.732,3.415
8.881,4.817,10.976,5.305
8.881,2.317,6.341,7.134
8.898,0.305,1.951,8.72
8.898,-1.707,0.183,9.695
8.898,-4.39,2.195,10.366
8.924,-5.366,7.134,10.61
8.924,-3.232,13.841,9.573
8.924,-2.134,16.646,8.841
8.955,-3.049,14.451,8.963
8.955,-2.317,11.159,9.39
8.955,1.098,7.561,10.244
8.999,3.476,3.11,11.463
8.999,3.049,-0.061,12.195
9,0.671,-2.073,11.768
9.022,-1.768,-5.549,11.22
9.022,-2.134,-7.927,11.098
9.022,-0.793,-6.707,10.732
9.067,0.61,-4.268,10.854
9.067,3.171,-0.61,10.793
9.067,5.793,3.415,9.573
9.075,4.939,4.268,8.11
9.075,2.439,2.073,6.098
9.075,1.402,-2.073,4.268
9.105,0.671,-5.61,3.11
9.105,-0.183,-5.488,1.829
9.106,0.549,-1.829,0.549
9.149,0.61,0.305,-0.549
9.149,0.305,0.976,-1.402
9.149,0.61,-0.366,-1.402
9.165,0.976,-2.988,-0.854
9.165,0.915,-5.122,0.366
9.165,0.122,-8.171,1.707
9.195,-1.463,-11.037,2.866
9.195,-3.354,-10.915,3.841
9.196,-3.72,-8.171,4.573
9.224,-1.646,-4.756,5.305
9.224,2.683,-0.488,5.366
9.224,6.159,1.341,4.756
9.264,6.524,1.707,4.573
9.264,3.841,2.5,5.061
9.264,0.183,1.28,6.22
9.322,-1.951,-4.878,8.11
9.322,-0.061,-11.098,10.122
9.322,4.756,-12.805,11.524
9.367,7.378,-10.427,12.378
9.367,7.561,-5.488,12.744
9.367,8.354,1.646,12.439
9.374,10.915,10.305,11.585
9.374,12.561,14.695,11.159
9.374,12.805,12.561,11.768
9.383,11.951,7.561,13.171
9.383,10.793,2.073,14.756
9.384,11.402,-2.683,16.098
9.405,12.561,-5.976,16.951
9.405,11.89,-8.659,17.317
9.405,11.524,-5.915,17.683
9.428,10.61,1.585,17.805
9.429,9.634,6.341,17.439
9.429,12.073,7.622,17.073
9.472,13.902,6.524,16.402
9.472,13.293,4.634,16.037
9.472,10.976,2.683,15.671
9.488,8.232,-0.244,15.122
9.488,6.463,-4.878,14.39
9.488,6.646,-7.927,13.78
9.518,7.5,-7.561,12.927
9.518,10.305,-2.256,11.524
9.518,12.622,6.159,9.085
9.547,12.683,12.378,6.098
9.547,12.073,15.244,4.024
9.547,8.659,16.159,2.073
9.577,2.195,13.415,1.159
9.577,-3.232,7.256,1.159
9.577,-4.39,-2.805,1.524
9.609,-1.524,-13.902,1.951
9.609,0.732,-18.232,1.829
9.611,-0.671,-14.695,-0.366
9.637,-1.341,-7.683,-4.329
9.637,-0.366,-2.744,-9.329
9.637,0.427,-1.524,-14.39
9.667,0.732,-3.476,-18.841
9.667,2.805,-8.171,-22.012
9.667,5.549,-12.744,-23.963
9.727,7.866,-14.39,-25.427
9.727,10.915,-14.573,-27.012
9.727,14.207,-13.415,-28.72
9.736,14.146,-11.951,-30.427
9.736,10.854,-10.915,-31.463
9.736,6.585,-8.902,-32.012
9.773,2.622,-5.549,-31.89
9.773,-1.037,-4.085,-31.768
9.773,-6.707,-5.122,-31.768
9.787,-14.024,-9.146,-31.89
9.787,-18.659,-14.817,-31.646
9.789,-18.963,-21.951,-31.89
9.817,-15.671,-24.512,-31.463
9.817,-10.915,-17.195,-32.256
9.817,-6.28,-7.195,-32.134
9.848,-2.622,-2.683,-33.598
9.848,-4.268,0.366,-36.707
9.848,-8.415,5.244,-39.817
9.877,-12.622,5.244,-43.293
9.877,-13.354,1.037,-46.585
9.877,-12.683,-2.134,-49.39
9.907,-11.402,-4.939,-49.695
9.907,-5.61,-5.671,-47.439
9.907,3.963,-3.049,-45.427
9.931,9.451,2.988,-43.963
9.931,7.378,9.39,-42.866
9.931,1.585,11.098,-43.537
9.959,-3.415,7.134,-45.183
9.959,-9.451,1.829,-45.976
9.959,-17.866,-0.122,-45.61
9.989,-23.78,0.427,-42.988
9.99,-24.695,-3.963,-38.72
9.99,-18.841,-8.171,-34.024
10.027,-13.72,-7.866,-31.159
10.027,-13.659,-6.524,-29.817
10.027,-15.305,-3.476,-29.634
10.05,-17.866,0.793,-30.427
10.05,-20.854,3.963,-31.28
10.05,-23.11,3.049,-31.768
10.079,-22.256,-1.646,-30.976
10.079,-20.244,-6.646,-29.512
10.08,-20.061,-10.61,-28.049
10.109,-20.549,-12.622,-26.646
10.109,-18.659,-10.244,-25.671
10.109,-14.939,-4.512,-25.183
10.139,-12.927,-0.61,-25.793
10.14,-12.744,0.305,-27.012
10.14,-13.415,-0.061,-28.171
10.169,-13.11,0.427,-29.207
10.169,-13.72,-0.793,-28.72
10.169,-16.22,-5,-26.585
10.2,-15.244,-8.171,-23.537
10.2,-11.585,-7.5,-20.244
10.2,-9.817,-6.037,-18.537
10.237,-9.756,-4.085,-16.402
10.237,-7.256,1.28,-14.329
10.237,0.061,6.646,-13.537
10.259,7.378,5.732,-12.988
10.259,11.159,-0.671,-13.11
10.259,13.78,-7.073,-13.659
10.289,14.939,-11.22,-12.988
10.289,12.927,-11.22,-11.402
10.29,10.244,-8.598,-11.159
10.319,9.756,-6.22,-9.695
10.32,9.512,-3.354,-8.963
10.32,9.573,-2.439,-9.756
10.349,11.707,-6.037,-10.244
10.35,14.268,-9.39,-11.098
10.35,15.427,-10.305,-11.341
10.379,14.329,-10.488,-11.585
10.379,11.951,-11.28,-10.915
10.379,8.659,-10.671,-10.061
10.409,6.524,-8.232,-8.11
10.409,5.061,-5.427,-5.671
10.409,4.512,-4.756,-4.024
10.432,7.012,-7.683,-3.232
10.432,9.939,-13.049,-2.683
10.432,8.963,-15.061,-2.683
10.462,4.939,-12.622,-3.293
10.462,3.415,-9.512,-4.085
10.462,5.671,-8.171,-5
10.492,7.256,-7.988,-5.732
10.492,7.134,-6.951,-6.524
10.492,7.561,-5,-6.28
10.522,9.024,-3.963,-6.341
10.522,9.756,-3.171,-6.646
10.522,7.5,-3.232,-6.22
10.552,4.268,-4.146,-5.671
10.552,2.439,-4.268,-4.512
10.552,2.073,-2.073,-3.963
10.582,1.585,-1.585,-4.146
10.582,0.305,-3.415,-4.024
10.583,-1.707,-4.756,-3.72
10.612,-4.085,-5.061,-3.72
10.612,-5.854,-4.207,-3.415
10.612,-7.073,-2.195,-3.72
10.642,-9.024,-0.915,-3.78
10.642,-11.402,0.61,-2.927
10.642,-13.354,2.073,-2.195
10.672,-12.683,1.89,-1.829
10.672,-10.854,-0.549,-2.073
10.672,-9.573,-3.78,-2.927
10.709,-8.537,-5.244,-4.634
10.709,-8.78,-4.573,-6.585
10.709,-11.585,-4.329,-7.988
10.732,-12.622,-0.732,-7.988
10.732,-11.159,6.22,-7.683
10.732,-8.293,10.732,-8.049
10.769,-5.61,12.195,-8.293
10.771,-4.207,14.695,-8.902
10.772,-4.573,17.866,-9.695
10.793,-4.878,21.646,-9.878
10.793,-6.22,23.476,-8.902
10.793,-7.744,23.598,-7.561
10.822,-9.573,19.878,-5.793
10.822,-10.976,10.915,-1.28
10.822,-10.366,0.366,3.598
10.852,-6.341,-4.512,8.232
10.852,-0.793,-2.561,11.707
10.852,3.11,2.378,14.939
10.882,4.451,8.902,17.195
10.882,3.841,13.659,17.927
10.882,2.744,14.268,18.232
10.928,2.378,11.037,17.805
10.928,3.476,5.183,17.561
10.928,3.72,-0.427,17.073
10.935,3.902,-2.988,16.829
10.936,4.39,-3.78,16.951
10.936,3.72,-3.78,17.073
10.972,2.622,-2.012,16.646
10.972,3.354,2.256,15.854
10.972,4.817,6.707,14.634
11.018,4.268,8.78,13.598
11.018,2.561,11.098,12.561
11.018,0.854,12.073,11.159
11.042,1.098,9.268,9.939
11.042,2.805,5.305,8.841
11.042,1.951,1.22,7.561
11.055,-1.098,-3.293,6.707
11.055,-2.5,-5.305,6.28
11.055,-1.341,-5.976,7.012
11.084,-0.61,-3.598,6.829
11.084,-1.707,-0.732,5.671
11.084,-0.61,-1.402,4.634
11.114,1.28,-1.159,2.866
11.114,2.195,0.488,2.073
11.114,1.463,0.549,1.707
11.152,-2.5,1.89,1.951
11.152,-5.183,4.634,2.5
11.152,-3.415,7.195,2.988
11.182,-0.854,6.585,2.805
11.182,4.756,2.073,3.11
11.182,11.402,-1.951,2.866
11.204,8.537,-2.195,1.28
11.204,1.402,-1.037,-0.427
11.204,1.159,-3.72,-1.22
11.25,3.72,-9.451,-2.073
11.25,2.988,-12.561,-2.622
11.25,1.402,-11.829,-2.744
11.265,1.22,-6.402,-3.171
11.265,0.122,2.5,-2.988
11.265,-2.805,10.366,-2.561
11.303,-1.951,14.817,-2.805
11.303,-0.366,15.366,-3.049
11.303,-0.976,12.5,-3.293
11.324,-0.488,9.146,-3.659
11.324,0.488,3.841,-4.207
11.324,1.28,-5.122,-4.207
11.354,2.5,-13.049,-4.39
11.354,2.622,-14.573,-4.085
11.354,2.134,-10.671,-3.11
11.384,1.463,-5.61,-2.561
11.384,1.585,-1.585,-2.927
11.384,4.024,0.122,-4.146
11.414,6.402,-0.549,-4.756
11.414,7.195,-1.951,-5
11.414,7.866,-2.073,-6.037
11.444,8.72,-3.11,-6.646
11.444,8.293,-5.305,-6.646
11.444,8.963,-6.707,-7.134
11.468,10.61,-6.89,-7.561
11.468,10.732,-5.183,-7.622
11.468,9.146,-1.28,-8.049
11.504,8.049,4.207,-8.232
11.504,7.927,8.232,-8.537
11.504,8.476,7.866,-8.902
11.527,8.537,3.902,-7.866
11.527,7.988,-1.463,-5.854
11.527,6.829,-8.476,-2.5
11.557,5.183,-21.098,0.915
11.557,6.037,-37.317,3.963
11.557,8.171,-49.573,4.329
11.596,5.793,-52.378,1.28
11.596,-2.561,-45.549,-5.488
11.596,-14.329,-30.915,-14.329
11.617,-22.622,-9.024,-22.012
11.617,-20.305,16.22,-29.512
11.617,-10.732,33.78,-34.39
11.647,-4.024,40.427,-35.854
11.647,-1.89,42.256,-37.073
11.647,6.098,34.939,-34.451
11.677,25.122,17.378,-30.305
11.677,24.329,15,-29.878
11.677,1.524,15.793,-28.049
11.715,-19.329,19.085,-24.939
11.715,-24.085,32.378,-20.854
11.715,-19.634,48.11,-16.28
11.737,-13.049,54.512,-11.037
11.737,-5.366,50.976,-5.793
11.737,1.037,39.756,-2.622
11.767,5.61,23.537,-1.402
11.767,11.28,6.829,-1.159
11.767,16.28,-6.524,-0.305
11.797,16.707,-13.72,-0.305
11.797,12.622,-14.939,-1.829
11.797,7.683,-11.463,-2.805
11.835,2.317,-6.89,-2.744
11.835,-4.024,-0.244,-3.354
11.835,-11.646,6.768,-3.537
11.857,-15.122,7.622,-3.537
11.857,-11.585,0.732,-3.232
11.857,-6.402,-6.89,-3.293
11.887,-4.39,-10,-3.537
11.887,-4.756,-9.512,-3.841
11.887,-5.122,-6.89,-4.573
11.925,-5.305,-5.976,-5.244
11.925,-5.183,-4.329,-5.671
11.925,-4.939,-0.61,-6.524
11.947,-4.085,0.366,-6.768
11.947,-2.195,1.463,-6.89
11.947,-2.683,2.134,-8.232
11.969,-4.085,1.037,-9.695
11.969,-3.232,3.78,-10.854
11.969,-1.768,10.122,-12.317
12.001,-0.244,16.951,-13.659
12.001,-0.915,18.72,-15
12.001,-4.878,12.866,-15.366
12.03,-8.049,4.573,-14.817
12.03,-9.207,-0.732,-13.78
12.03,-9.634,2.5,-10.427
12.06,-2.378,5.61,-7.683
12.06,2.195,2.256,-3.72
12.06,-6.707,-0.427,-0.976
12.089,-16.159,-1.341,-0.915
12.089,-20.549,-1.402,-0.671
12.09,-21.829,-2.256,-0.671
12.119,-17.927,-3.78,-1.037
12.12,-10.732,-7.866,-1.037
12.12,-5.976,-11.341,-2.073
12.15,-3.476,-11.707,-3.11
12.15,-2.134,-11.463,-3.354
12.15,-1.951,-10.915,-3.476
12.18,-3.476,-9.085,-4.329
12.18,-5.732,-6.28,-5.793
12.18,-8.476,-3.659,-7.012
12.21,-13.537,-0.061,-7.378
12.21,-17.317,4.573,-7.195
12.21,-18.598,6.646,-7.134
12.239,-19.085,6.463,-7.134
12.24,-17.378,5.183,-7.317
12.24,-12.012,2.927,-7.5
12.269,-3.11,-0.915,-7.866
12.269,3.841,-8.476,-8.354
12.269,6.28,-12.805,-8.78
12.299,5.183,-11.22,-9.268
12.299,3.232,-10.122,-9.939
12.299,2.378,-10.61,-11.707
12.337,1.768,-10.854,-13.232
12.337,2.195,-12.134,-12.622
12.337,2.378,-10.793,-11.463
12.382,2.256,-7.134,-11.28
12.382,2.622,-3.963,-11.707
12.382,4.939,-2.744,-11.585
12.39,6.768,-2.683,-11.159
12.39,5.732,-1.951,-10
12.39,3.72,0.671,-9.146
12.419,2.866,4.024,-8.415
12.419,0.732,9.878,-6.89
12.419,-2.744,16.463,-6.646
12.465,0.61,15.732,-5.915
12.465,5.488,10.427,-4.512
12.465,7.622,4.451,-2.439
12.472,7.744,-0.122,-1.159
12.472,5.854,-1.524,0.915
12.472,3.598,-2.439,2.256
12.51,5.183,-4.634,2.927
12.51,9.207,-5.183,2.988
12.51,10.61,-4.695,3.415
12.533,10.61,-4.939,3.659
12.533,11.402,-4.573,3.72
12.533,12.927,-2.866,2.866
12.562,12.439,-5.915,1.646
12.563,11.768,-10.366,0.549
12.563,13.171,-11.951,0.366
12.599,13.476,-11.463,-0.061
12.599,9.878,-9.146,-2.5
12.599,7.561,-7.866,-3.171
12.629,4.695,-7.012,-2.256
12.629,1.89,-2.988,-1.28
12.629,0.366,0.671,-0.427
12.66,-1.037,3.232,-0.915
12.661,-0.427,4.207,-2.988
12.661,2.317,3.232,-3.72
12.704,4.878,2.866,-2.622
12.704,6.22,3.963,-0.732
12.704,5.305,6.585,0.427
12.712,1.28,10.366,0.183
12.712,-2.073,13.049,-0.61
12.712,-2.622,13.11,0.122
12.744,-4.024,15.183,0.183
12.744,-8.598,20.976,-1.037
12.744,-11.341,24.451,-3.963
12.772,-8.659,20.244,-4.329
12.772,-5.976,6.951,-3.232
12.772,-1.585,-9.695,3.293
12.818,0.122,-6.341,7.988
12.818,1.037,2.439,10.305
12.818,3.171,4.817,11.585
12.832,2.256,1.463,10.854
12.832,1.768,-1.829,11.159
12.832,-0.793,-5.244,11.768
12.862,-6.524,-10.244,12.439
12.862,-9.207,-14.329,13.171
12.862,-10.061,-19.268,12.744
12.922,-8.78,-25.61,10.854
12.923,-4.756,-30.427,8.232
12.923,-2.378,-30.61,5.61
12.937,-2.317,-27.866,3.232
12.937,-4.085,-24.756,1.463
12.937,-5.549,-21.28,-0.732
12.952,-6.646,-17.378,-3.415
12.953,-6.22,-11.89,-5.671
12.953,-7.866,-5.488,-7.622
12.989,-12.805,-1.098,-8.049
12.989,-18.293,1.829,-7.378
12.989,-20.183,3.293,-5.61
13.012,-19.512,2.561,-3.415
13.012,-19.817,0.061,-1.098
13.012,-18.78,-1.829,1.159
13.034,-14.695,-4.756,5.183
13.035,-11.707,-7.378,8.232
13.035,-9.085,-7.805,9.817
13.064,-6.951,-7.134,9.817
13.064,-3.476,-5.366,8.11
13.064,0.732,-4.085,7.195
13.103,3.354,-4.024,6.829
13.103,5.122,-4.451,6.707
13.103,6.585,-5.183,6.768
13.125,6.89,-5.366,6.037
13.126,7.927,-4.268,4.512
13.126,12.256,-1.341,1.829
13.155,17.988,2.378,-2.012
13.156,22.012,5.122,-5.549
13.156,25.061,5.488,-7.439
13.185,27.195,3.049,-8.049
13.185,27.683,-0.122,-8.11
13.185,25.488,-2.317,-8.232
13.214,19.756,-4.024,-7.805
13.215,12.927,-4.817,-7.561
13.215,4.329,-4.939,-6.707
13.246,-4.268,-4.146,-4.512
13.246,-9.573,-1.89,-2.378
13.246,-9.024,0.366,-0.915
13.282,-5.915,0.793,0.61
13.282,-3.232,0.61,2.012
13.282,0.549,0.549,2.5
13.304,4.024,-1.159,2.988
13.304,5.793,-3.049,3.476
13.304,7.378,-4.268,2.927
13.335,5.427,-5.122,2.927
13.335,1.341,-4.756,3.72
13.335,-2.317,-3.902,4.878
13.364,-5.732,-3.354,6.707
13.367,-9.878,-2.866,8.415
13.367,-11.037,-1.646,8.598
13.402,-9.024,-0.671,7.927
13.402,-6.159,-1.098,6.89
13.402,-4.39,-1.585,5.854
13.425,-4.268,-1.524,5.061
13.425,-4.329,-1.037,4.024
13.425,-4.817,-0.549,3.11
13.454,-4.695,0.427,2.683
13.454,-4.817,1.524,3.11
13.454,-5.793,2.744,4.024
13.485,-5.61,3.902,4.451
13.485,-3.72,4.451,4.085
13.485,-0.61,5.061,2.744
13.508,3.841,4.207,1.89
13.508,6.098,2.561,1.768
13.508,5.976,2.378,1.829
13.537,6.89,2.195,1.341
13.537,7.683,1.159,0.366
13.537,5.793,0.061,-0.732
13.568,3.415,-0.183,-2.195
13.568,0.976,-0.671,-3.354
13.568,-2.073,-1.463,-3.841
13.597,-5.305,-1.829,-4.085
13.597,-7.744,-1.341,-4.451
13.597,-7.439,-1.22,-5.427
13.627,-6.037,-2.195,-6.098
13.627,-6.585,-2.927,-6.28
13.627,-6.829,-2.927,-6.037
13.665,-4.512,-3.049,-6.341
13.665,-1.89,-4.39,-6.829
13.665,-0.305,-5.915,-7.256
13.694,1.463,-6.28,-8.293
13.695,3.049,-6.585,-9.573
13.695,2.927,-7.683,-10.183
13.717,2.195,-8.72,-10.732
13.717,0.976,-9.024,-11.707
13.717,-2.073,-8.232,-12.439
13.755,-6.341,-7.073,-12.561
13.755,-8.902,-4.756,-12.256
13.755,-8.659,-1.463,-12.256
13.777,-6.463,0.244,-12.683
13.777,-3.841,0.305,-13.354
13.777,-1.037,-0.305,-13.78
13.807,0.366,-0.854,-13.78
13.807,-1.159,-1.341,-13.476
13.807,-3.963,-1.829,-12.622
13.837,-4.085,-2.134,-12.256
13.837,-4.756,-2.378,-12.134
13.837,-6.463,-2.256,-12.378
13.867,-6.89,-0.61,-13.232
13.867,-6.951,0.732,-13.841
13.867,-8.232,1.402,-14.207
13.897,-8.354,1.829,-14.451
13.897,-8.293,1.098,-14.756
13.897,-7.622,-0.305,-15.061
13.927,-8.171,-2.744,-15
13.927,-10.61,-4.634,-14.695
13.927,-13.476,-5.488,-14.329
13.964,-16.159,-6.707,-13.354
13.965,-19.207,-7.317,-12.927
13.965,-19.695,-5.976,-13.659
13.987,-16.646,-5,-14.207
13.987,-13.171,-4.207,-14.39
13.987,-8.415,-4.756,-11.585
14.01,-6.341,-6.098,-12.988
14.01,-4.939,-6.159,-13.659
14.01,-3.232,-6.524,-12.073
14.04,-4.512,-7.439,-10.122
14.04,-8.354,-7.256,-9.024
14.04,-9.329,-7.683,-9.024
14.069,-7.622,-8.171,-8.232
14.069,-5.305,-6.463,-9.268
14.069,-1.829,-4.207,-10.976
14.101,2.439,-3.232,-13.049
14.101,4.451,-2.439,-14.695
14.101,3.537,-2.134,-14.39
14.13,0.366,-1.22,-13.963
14.13,-5,-0.061,-13.171
14.13,-12.317,-0.122,-12.256
14.16,-19.939,-1.585,-11.037
14.16,-22.5,-3.049,-12.5
14.16,-17.134,-3.902,-17.134
14.19,-11.829,-2.5,-20.183
14.19,-8.841,-4.634,-27.866
14.19,-11.037,0.305,-26.22
14.219,-16.585,6.524,-26.28
14.219,-29.146,14.573,-21.646
14.219,-41.707,17.927,-21.22
14.265,-48.232,9.817,-21.037
14.265,-45.427,-5.183,-15.061
14.265,-36.402,-14.146,-11.098
14.28,-30.976,-9.817,-12.439
14.28,-29.512,1.585,-13.415
14.28,-30.915,8.598,-20.427
14.31,-32.683,4.329,-24.329
14.31,-27.378,1.89,-27.622
14.31,-18.963,2.439,-28.293
14.34,-13.049,6.159,-32.134
14.34,-10.671,7.256,-36.951
14.34,-12.988,4.329,-35.305
14.369,-15.488,1.524,-37.073
14.369,-10.793,0.793,-42.927
14.37,-6.89,3.232,-42.805
14.4,-7.012,4.695,-42.256
14.4,-11.524,3.537,-38.841
14.4,-16.951,2.195,-37.439
14.429,-14.451,3.902,-41.037
14.429,-4.024,7.012,-43.598
14.429,6.037,10.793,-45
14.461,9.817,14.146,-45.366
14.461,9.756,18.72,-39.573
14.461,12.622,23.598,-33.78
14.497,24.756,29.634,-27.378
14.497,36.28,33.415,-29.146
14.497,38.232,32.378,-36.28
14.513,29.329,25.549,-44.024
14.513,17.988,21.159,-46.585
14.513,11.524,19.146,-47.073
14.558,9.573,14.939,-51.524
14.558,15.366,12.5,-59.329
14.558,25.244,10.427,-72.561
14.572,25.671,8.902,-77.866
14.572,24.085,6.951,-84.268
14.572,28.476,7.378,-94.329
14.609,31.037,12.805,-99.39
14.609,25.793,20.854,-87.256
14.61,8.963,25.915,-63.72
14.64,-14.329,31.402,-29.939
14.64,-33.415,35.671,-6.28
14.64,-40.366,38.537,-2.927
14.677,-40.122,48.293,-7.927
14.677,-33.963,42.622,-9.451
14.677,-24.939,25.244,-17.927
14.692,-8.171,21.951,-27.683
14.692,4.695,29.878,-38.841
14.692,7.378,36.951,-44.024
14.723,-2.012,40.549,-40.305
14.723,-18.598,39.756,-32.561
14.723,-31.463,39.878,-26.951
14.752,-36.159,41.463,-27.012
14.752,-39.512,41.646,-26.402
14.752,-50,38.476,-20.427
14.783,-60.244,34.817,-14.878
14.783,-62.622,34.451,-13.963
14.783,-59.878,38.78,-17.012
14.812,-56.768,44.451,-19.085
14.812,-56.037,47.988,-16.098
14.812,-58.232,47.866,-10.122
14.843,-59.939,46.951,-5.671
14.843,-55.244,45.793,-2.805
14.843,-48.293,42.927,3.11
14.879,-43.659,41.463,4.695
14.88,-32.683,41.22,-0.793
14.88,-19.573,42.073,-5.976
14.902,-15.122,46.829,-6.951
14.903,-12.866,50.305,-5.183
14.903,-8.963,50.183,-7.439
14.932,0.122,46.341,-15.976
14.932,12.683,40.61,-24.573
14.932,19.085,41.524,-30.549
14.962,21.28,44.695,-27.805
14.962,19.085,45.244,-20.793
14.962,25.244,45.915,-21.646
15.023,39.39,49.634,-28.232
15.023,51.585,53.476,-30.427
15.023,59.939,54.878,-28.841
15.029,71.098,55.915,-29.512
15.029,76.829,62.378,-31.951
15.029,78.537,67.866,-31.098
15.046,79.024,70.549,-24.878
15.046,79.939,75.549,-19.329
15.046,80.61,82.317,-18.72
15.082,83.598,83.963,-16.585
15.082,82.866,85.732,-8.232
15.082,80.854,93.659,-0.488
15.119,83.354,103.902,-1.646
15.119,87.5,111.463,-2.5
15.119,89.329,116.646,1.341
15.135,89.024,120.61,5.183
15.135,84.756,124.634,8.354
15.135,72.5,127.866,17.195
15.172,58.476,132.866,30.122
15.172,43.354,142.988,41.951
15.172,30.976,148.72,52.317
15.203,28.354,141.951,54.756
15.203,29.146,127.378,48.598
15.203,38.476,106.646,38.293
15.226,60.488,68.659,22.561
15.226,77.317,18.171,8.232
15.226,87.439,-12.5,2.439
15.277,89.207,-13.963,5.549
15.277,88.537,4.512,9.085
15.277,84.756,24.512,10.854
15.286,72.622,42.439,21.098
15.286,61.341,63.171,37.195
15.286,52.622,67.561,45.976
15.314,47.988,51.28,46.829
15.314,48.598,33.598,49.024
15.314,50.671,27.317,53.476
15.345,56.037,30.915,57.866
15.346,66.829,33.72,53.415
15.346,84.695,31.524,35.061
15.374,108.049,26.951,7.988
15.374,135.183,22.378,-20.549
15.375,155.488,18.11,-41.341
15.412,157.256,10.61,-40.61
15.412,140.183,-2.439,-16.524
15.412,110.122,-29.268,17.561
15.434,86.159,-67.866,47.683
15.435,88.354,-88.11,61.463
15.435,62.012,-68.902,64.39
15.48,36.707,-41.159,55.122
15.48,27.805,-31.159,43.537
15.48,13.963,-33.171,40.671
15.494,2.012,-42.744,46.463
15.494,-11.22,-53.293,46.402
15.495,-34.634,-58.476,47.683
15.525,-70.061,-59.756,67.866
15.525,-111.402,-66.707,107.988
15.525,-154.268,-88.293,158.72
15.57,-194.573,-117.012,211.646
15.57,-224.451,-143.476,251.585
15.57,-231.403,-162.012,265.183
15.578,-219.634,-171.159,253.598
15.578,-203.293,-173.72,225.732
15.578,-192.317,-178.415,204.756
15.607,-193.171,-195.183,207.622
