elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1.8,-2.195,-1.341,-0.915
1.829,-1.341,-1.098,-0.915
1.83,-0.671,0.061,-1.098
1.83,-0.061,1.341,-1.28
1.875,-0.061,1.89,-1.402
1.875,-0.183,1.829,-1.159
1.875,-0.183,0.976,-1.159
1.89,-0.244,-0.061,-1.159
1.89,-0.61,-0.915,-1.037
1.89,-1.524,-1.829,-0.976
1.919,-2.256,-2.195,-0.793
1.919,-2.378,-2.195,-0.671
1.92,-1.707,-1.89,-0.915
1.949,-0.915,-1.159,-1.402
1.95,-0.061,-0.061,-1.829
1.95,0.305,0.671,-2.012
1.98,-0.061,1.341,-1.89
1.98,-0.366,2.073,-1.89
1.98,-0.671,2.744,-2.012
2.011,-0.732,2.988,-2.134
2.012,-0.732,2.805,-2.439
2.012,-0.671,2.561,-2.378
2.047,-0.671,1.951,-2.195
2.048,-0.732,1.098,-1.829
2.048,-0.549,0.488,-1.707
2.069,-0.366,-0.061,-2.012
2.07,-0.244,-0.366,-1.89
2.07,-0.366,-0.305,-1.524
2.099,-0.854,-0.427,-1.646
2.099,-0.915,-0.305,-1.768
2.1,-0.488,0.244,-1.707
2.129,-0.549,0.793,-1.89
2.13,-0.488,1.524,-1.707
2.13,-0.976,2.927,-1.768
2.16,-1.585,3.902,-1.768
2.16,-1.646,4.329,-1.829
2.16,-2.073,4.878,-2.256
2.19,-2.378,4.756,-2.012
2.19,-2.439,3.902,-1.768
2.19,-2.256,2.683,-1.341
2.22,-1.89,1.402,-0.976
2.22,-1.037,0.427,-1.098
2.22,0.061,-0.427,-1.22
2.25,0.183,-1.28,-1.28
2.25,-0.366,-1.89,-1.098
2.25,-1.28,-1.768,-1.159
2.272,-2.134,-0.61,-1.402
2.272,-2.134,1.402,-1.707
2.272,-1.524,4.207,-2.134
2.302,-0.488,6.402,-2.134
2.302,0.427,7.317,-2.134
2.302,0.732,6.951,-2.195
2.334,-0.061,5.488,-2.012
2.334,-1.585,3.598,-1.89
2.335,-3.171,2.5,-1.646
2.362,-4.329,1.28,-1.585
2.362,-4.695,0.427,-1.585
2.362,-4.39,-0.366,-1.646
2.392,-3.476,-1.098,-1.707
2.392,-2.317,-1.22,-1.463
2.392,-1.28,-1.037,-1.22
2.422,-0.366,-1.159,-1.463
2.422,-0.61,-1.037,-1.951
2.422,-0.61,-0.732,-1.159
2.497,-0.793,0.61,-1.098
2.497,-1.951,2.866,-0.122
2.497,-2.256,5.427,-2.012
2.505,-1.951,8.171,-3.476
2.506,-0.305,7.012,-2.988
2.506,-0.427,4.939,-2.744
2.512,-0.915,2.439,-2.622
2.512,-0.732,-0.61,-2.256
2.512,0.366,-3.293,-2.195
2.549,1.951,-4.695,-1.89
2.55,3.293,-5.427,-1.159
2.55,3.72,-4.634,-0.793
2.572,3.354,-3.232,-0.793
2.572,2.256,-1.463,-1.098
2.572,1.159,-0.122,-0.915
2.602,-0.122,1.037,-0.61
2.602,-2.744,1.585,-0.671
2.602,-5.427,1.707,-0.183
2.632,-7.561,2.561,0.183
2.632,-8.78,3.415,0.488
2.632,-9.024,3.598,0.915
2.662,-8.354,3.171,1.037
2.662,-7.195,1.768,1.159
2.662,-5.549,0.549,1.463
2.692,-4.329,0.366,1.463
2.692,-3.841,1.402,0.732
2.692,-3.354,3.171,-0.122
2.722,-2.5,4.573,-0.732
2.722,-1.463,5.061,-0.854
2.722,-1.098,4.512,-0.732
2.747,-0.732,3.293,-0.854
2.747,0.061,1.707,-0.854
2.747,0.671,0,-0.732
2.789,1.098,-1.341,-0.366
2.789,1.037,-2.317,-0.061
2.79,0.305,-3.293,0.122
2.804,-0.854,-3.963,0.061
2.805,-0.976,-4.268,0.122
