epoch (ms),time (05:00),elapsed (s),pitch (deg),roll (deg),yaw (deg),heading (deg)
1517305030936,2018-01-30T14:37:10.936,0.000,175.440,22.846,21.370,21.370
1517305030945,2018-01-30T14:37:10.945,0.009,175.490,22.826,21.388,21.388
1517305030960,2018-01-30T14:37:10.960,0.024,175.537,22.812,21.406,21.406
1517305030966,2018-01-30T14:37:10.966,0.030,175.573,22.801,21.431,21.431
1517305030981,2018-01-30T14:37:10.981,0.045,175.597,22.794,21.465,21.465
1517305030994,2018-01-30T14:37:10.994,0.058,175.616,22.789,21.501,21.501
1517305031002,2018-01-30T14:37:11.002,0.066,175.632,22.788,21.541,21.541
1517305031011,2018-01-30T14:37:11.011,0.075,175.637,22.798,21.587,21.587
1517305031019,2018-01-30T14:37:11.019,0.083,175.627,22.814,21.637,21.637
1517305031027,2018-01-30T14:37:11.027,0.091,175.603,22.835,21.696,21.696
1517305031042,2018-01-30T14:37:11.042,0.106,175.570,22.862,21.753,21.753
1517305031049,2018-01-30T14:37:11.049,0.113,175.541,22.891,21.803,21.803
1517305031056,2018-01-30T14:37:11.056,0.120,175.519,22.911,21.845,21.845
1517305031071,2018-01-30T14:37:11.071,0.135,175.507,22.916,21.873,21.873
1517305031086,2018-01-30T14:37:11.086,0.150,175.510,22.911,21.891,21.891
1517305031094,2018-01-30T14:37:11.094,0.158,175.546,22.899,21.893,21.893
1517305031101,2018-01-30T14:37:11.101,0.165,175.615,22.878,21.888,21.888
1517305031111,2018-01-30T14:37:11.111,0.175,175.719,22.847,21.883,21.883
1517305031116,2018-01-30T14:37:11.116,0.180,175.866,22.798,21.883,21.883
1517305031131,2018-01-30T14:37:11.131,0.195,176.033,22.745,21.889,21.889
1517305031139,2018-01-30T14:37:11.139,0.203,176.206,22.691,21.905,21.905
1517305031146,2018-01-30T14:37:11.146,0.210,176.366,22.627,21.916,21.916
1517305031161,2018-01-30T14:37:11.161,0.225,176.502,22.568,21.911,21.911
1517305031169,2018-01-30T14:37:11.169,0.233,176.604,22.524,21.902,21.902
1517305031192,2018-01-30T14:37:11.192,0.256,176.681,22.493,21.898,21.898
1517305031199,2018-01-30T14:37:11.199,0.263,176.745,22.473,21.901,21.901
1517305031206,2018-01-30T14:37:11.206,0.270,176.794,22.460,21.914,21.914
1517305031214,2018-01-30T14:37:11.214,0.278,176.836,22.450,21.925,21.925
1517305031221,2018-01-30T14:37:11.221,0.285,176.869,22.444,21.928,21.928
1517305031229,2018-01-30T14:37:11.229,0.293,176.902,22.445,21.925,21.925
1517305031244,2018-01-30T14:37:11.244,0.308,176.941,22.446,21.917,21.917
1517305031251,2018-01-30T14:37:11.251,0.315,176.978,22.453,21.914,21.914
1517305031259,2018-01-30T14:37:11.259,0.323,177.009,22.463,21.920,21.920
1517305031275,2018-01-30T14:37:11.275,0.339,177.029,22.477,21.942,21.942
1517305031281,2018-01-30T14:37:11.281,0.345,177.046,22.494,21.972,21.972
1517305031296,2018-01-30T14:37:11.296,0.360,177.067,22.507,22.009,22.009
1517305031304,2018-01-30T14:37:11.304,0.368,177.100,22.512,22.046,22.046
1517305031312,2018-01-30T14:37:11.312,0.376,177.156,22.510,22.076,22.076
1517305031320,2018-01-30T14:37:11.320,0.384,177.230,22.492,22.105,22.105
1517305031334,2018-01-30T14:37:11.334,0.398,177.316,22.467,22.127,22.127
1517305031342,2018-01-30T14:37:11.342,0.406,177.407,22.439,22.153,22.153
1517305031359,2018-01-30T14:37:11.359,0.423,177.510,22.416,22.181,22.181
1517305031363,2018-01-30T14:37:11.363,0.427,177.621,22.399,22.210,22.210
1517305031372,2018-01-30T14:37:11.372,0.436,177.728,22.393,22.237,22.237
1517305031387,2018-01-30T14:37:11.387,0.451,177.817,22.387,22.259,22.259
1517305031394,2018-01-30T14:37:11.394,0.458,177.894,22.403,22.276,22.276
1517305031403,2018-01-30T14:37:11.403,0.467,177.953,22.436,22.307,22.307
1517305031417,2018-01-30T14:37:11.417,0.481,177.996,22.485,22.363,22.363
1517305031444,2018-01-30T14:37:11.444,0.508,178.024,22.549,22.454,22.454
1517305031448,2018-01-30T14:37:11.448,0.512,178.048,22.618,22.570,22.570
1517305031454,2018-01-30T14:37:11.454,0.518,178.074,22.687,22.698,22.698
1517305031459,2018-01-30T14:37:11.459,0.523,178.090,22.750,22.832,22.832
1517305031464,2018-01-30T14:37:11.464,0.528,178.098,22.802,22.961,22.961
1517305031477,2018-01-30T14:37:11.477,0.541,178.103,22.842,23.075,23.075
1517305031515,2018-01-30T14:37:11.515,0.579,178.122,22.866,23.170,23.170
1517305031519,2018-01-30T14:37:11.519,0.583,178.155,22.872,23.252,23.252
1517305031523,2018-01-30T14:37:11.523,0.587,178.207,22.856,23.315,23.315
1517305031528,2018-01-30T14:37:11.528,0.592,178.262,22.828,23.367,23.367
1517305031560,2018-01-30T14:37:11.560,0.624,178.310,22.794,23.400,23.400
1517305031643,2018-01-30T14:37:11.643,0.707,178.261,22.842,23.431,23.431
1517305031675,2018-01-30T14:37:11.675,0.739,178.214,22.883,23.448,23.448
1517305031679,2018-01-30T14:37:11.679,0.743,178.188,22.897,23.446,23.446
1517305031683,2018-01-30T14:37:11.683,0.747,178.201,22.878,23.414,23.414
1517305031689,2018-01-30T14:37:11.689,0.753,178.274,22.814,23.361,23.361
1517305031694,2018-01-30T14:37:11.694,0.758,178.354,22.745,23.307,23.307
1517305031707,2018-01-30T14:37:11.707,0.771,178.423,22.676,23.259,23.259
