epoch (ms),time (10:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1.52579E+12,2018-05-08T20:23:45.099,63.016,9.939,-4.695,2.927
1.52579E+12,2018-05-08T20:23:45.120,63.037,9.268,-5.671,1.89
1.52579E+12,2018-05-08T20:23:45.139,63.056,9.085,-5.244,2.561
1.52579E+12,2018-05-08T20:23:45.159,63.076,9.817,-5,3.354
1.52579E+12,2018-05-08T20:23:45.178,63.095,9.756,-6.646,2.927
1.52579E+12,2018-05-08T20:23:45.198,63.115,8.354,-4.512,3.659
1.52579E+12,2018-05-08T20:23:45.218,63.135,7.561,-2.561,4.146
1.52579E+12,2018-05-08T20:23:45.237,63.154,6.341,-3.72,4.268
1.52579E+12,2018-05-08T20:23:45.258,63.175,5.671,-2.744,3.11
1.52579E+12,2018-05-08T20:23:45.277,63.194,5.793,-1.098,2.012
1.52579E+12,2018-05-08T20:23:45.297,63.214,5.732,-3.659,1.707
1.52579E+12,2018-05-08T20:23:45.316,63.233,5.549,-6.829,2.256
1.52579E+12,2018-05-08T20:23:45.337,63.254,6.585,-6.768,2.866
1.52579E+12,2018-05-08T20:23:45.356,63.273,7.805,-6.037,0.976
1.52579E+12,2018-05-08T20:23:45.376,63.293,6.951,-5.549,0.732
1.52579E+12,2018-05-08T20:23:45.395,63.312,5.488,-4.756,1.524
1.52579E+12,2018-05-08T20:23:45.414,63.331,3.11,-5.793,2.683
1.52579E+12,2018-05-08T20:23:45.435,63.352,3.78,-7.256,3.049
1.52579E+12,2018-05-08T20:23:45.454,63.371,4.634,-5.976,3.354
1.52579E+12,2018-05-08T20:23:45.474,63.391,5,-3.354,3.232
1.52579E+12,2018-05-08T20:23:45.493,63.41,3.659,-0.854,3.72
1.52579E+12,2018-05-08T20:23:45.514,63.431,0.549,-2.073,4.39
1.52579E+12,2018-05-08T20:23:45.533,63.45,-0.549,-6.22,5.183
1.52579E+12,2018-05-08T20:23:45.553,63.47,-2.805,-3.293,8.476
1.52579E+12,2018-05-08T20:23:45.573,63.49,-3.476,1.159,11.402
1.52579E+12,2018-05-08T20:23:45.593,63.51,-1.89,3.476,12.195
1.52579E+12,2018-05-08T20:23:45.612,63.529,2.561,4.024,10.061
1.52579E+12,2018-05-08T20:23:45.633,63.55,3.415,8.171,8.415
1.52579E+12,2018-05-08T20:23:45.652,63.569,1.22,11.89,9.573
1.52579E+12,2018-05-08T20:23:45.671,63.588,1.341,10.976,8.415
1.52579E+12,2018-05-08T20:23:45.691,63.608,3.72,-0.061,5.122
1.52579E+12,2018-05-08T20:23:45.710,63.627,4.817,6.28,3.049
1.52579E+12,2018-05-08T20:23:45.731,63.648,3.415,9.39,-0.244
1.52579E+12,2018-05-08T20:23:45.750,63.667,4.146,7.5,-5.305
1.52579E+12,2018-05-08T20:23:45.770,63.687,4.939,11.341,-7.927
1.52579E+12,2018-05-08T20:23:45.789,63.706,2.561,17.622,-10.427
1.52579E+12,2018-05-08T20:23:45.810,63.727,-1.646,21.951,-12.805
1.52579E+12,2018-05-08T20:23:45.829,63.746,-2.622,23.841,-16.037
1.52579E+12,2018-05-08T20:23:45.849,63.766,-3.537,24.634,-16.646
1.52579E+12,2018-05-08T20:23:45.868,63.785,-4.634,21.402,-16.707
1.52579E+12,2018-05-08T20:23:45.887,63.804,-3.72,15.61,-17.378
1.52579E+12,2018-05-08T20:23:45.908,63.825,-0.488,10.915,-16.829
1.52579E+12,2018-05-08T20:23:45.927,63.844,-1.585,15.854,-10.122
1.52579E+12,2018-05-08T20:23:45.948,63.865,1.524,22.073,-4.207
1.52579E+12,2018-05-08T20:23:45.967,63.884,3.841,13.415,-4.695
1.52579E+12,2018-05-08T20:23:45.987,63.904,-1.159,3.72,-4.695
1.52579E+12,2018-05-08T20:23:46.006,63.923,-3.232,0.183,-2.622
1.52579E+12,2018-05-08T20:23:46.027,63.944,-0.915,1.22,-1.098
1.52579E+12,2018-05-08T20:23:46.046,63.963,-2.439,6.341,1.402
1.52579E+12,2018-05-08T20:23:46.066,63.983,1.159,-3.78,-0.793
1.52579E+12,2018-05-08T20:23:46.085,64.002,-0.549,9.573,-5.793
1.52579E+12,2018-05-08T20:23:46.104,64.021,8.11,6.951,-15.61
1.52579E+12,2018-05-08T20:23:46.125,64.042,11.707,19.329,-15.061
1.52579E+12,2018-05-08T20:23:46.144,64.061,1.463,37.012,-3.232
1.52579E+12,2018-05-08T20:23:46.164,64.081,-10.305,32.5,4.512
1.52579E+12,2018-05-08T20:23:46.183,64.1,-12.073,13.476,0.305
1.52579E+12,2018-05-08T20:23:46.204,64.121,-3.11,1.159,-11.646
