epoch (ms),time (10:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1.52579E+12,2018-05-08T20:23:04.100,22.017,51.22,-41.159,-107.927
1.52579E+12,2018-05-08T20:23:04.120,22.037,19.39,-28.963,-104.634
1.52579E+12,2018-05-08T20:23:04.139,22.056,-3.537,-29.146,-91.037
1.52579E+12,2018-05-08T20:23:04.160,22.077,33.354,-10,-22.5
1.52579E+12,2018-05-08T20:23:04.179,22.096,17.622,29.878,23.415
1.52579E+12,2018-05-08T20:23:04.199,22.116,-29.695,39.024,-2.744
1.52579E+12,2018-05-08T20:23:04.219,22.136,-5.549,20.244,-45.61
1.52579E+12,2018-05-08T20:23:04.238,22.155,28.049,-7.439,-61.341
1.52579E+12,2018-05-08T20:23:04.258,22.175,49.207,-22.073,-73.049
1.52579E+12,2018-05-08T20:23:04.277,22.194,36.646,-22.073,-62.561
1.52579E+12,2018-05-08T20:23:04.298,22.215,0.61,-41.768,-35
1.52579E+12,2018-05-08T20:23:04.317,22.234,-29.817,-67.439,9.268
1.52579E+12,2018-05-08T20:23:04.337,22.254,-18.659,-63.293,13.293
1.52579E+12,2018-05-08T20:23:04.356,22.273,11.646,-47.134,-25.854
1.52579E+12,2018-05-08T20:23:04.377,22.294,26.28,-64.39,-76.951
1.52579E+12,2018-05-08T20:23:04.396,22.313,33.293,-79.024,-124.207
1.52579E+12,2018-05-08T20:23:04.416,22.333,61.098,-64.512,-114.939
1.52579E+12,2018-05-08T20:23:04.435,22.352,80.122,-11.89,-166.463
1.52579E+12,2018-05-08T20:23:04.454,22.371,108.72,45.671,-282.805
1.52579E+12,2018-05-08T20:23:04.475,22.392,121.951,55.61,-320
1.52579E+12,2018-05-08T20:23:04.494,22.411,103.598,63.537,-258.72
1.52579E+12,2018-05-08T20:23:04.514,22.431,47.988,83.902,-189.146
1.52579E+12,2018-05-08T20:23:04.533,22.45,-38.659,87.561,-152.439
1.52579E+12,2018-05-08T20:23:04.554,22.471,-132.378,87.561,-93.232
1.52579E+12,2018-05-08T20:23:04.573,22.49,-149.268,98.902,32.744
1.52579E+12,2018-05-08T20:23:04.594,22.511,-133.72,107.622,37.805
1.52579E+12,2018-05-08T20:23:04.613,22.53,-109.512,113.049,20.366
1.52579E+12,2018-05-08T20:23:04.633,22.55,-94.146,129.573,-47.561
1.52579E+12,2018-05-08T20:23:04.652,22.569,-76.585,134.512,-35.549
1.52579E+12,2018-05-08T20:23:04.671,22.588,-46.402,134.634,-7.195
1.52579E+12,2018-05-08T20:23:04.692,22.609,-47.805,146.585,-26.646
1.52579E+12,2018-05-08T20:23:04.711,22.628,-78.902,150.427,-56.037
1.52579E+12,2018-05-08T20:23:04.731,22.648,-101.829,157.195,-95.732
1.52579E+12,2018-05-08T20:23:04.750,22.667,-107.988,173.963,-156.585
1.52579E+12,2018-05-08T20:23:04.771,22.688,-130,185.244,-200.061
1.52579E+12,2018-05-08T20:23:04.790,22.707,-170.854,213.415,-217.012
1.52579E+12,2018-05-08T20:23:04.810,22.727,-207.622,241.28,-212.378
1.52579E+12,2018-05-08T20:23:04.829,22.746,-173.537,239.512,-188.415
1.52579E+12,2018-05-08T20:23:04.850,22.767,-99.207,217.866,-139.878
1.52579E+12,2018-05-08T20:23:04.869,22.786,-78.415,177.256,-73.11
1.52579E+12,2018-05-08T20:23:04.888,22.805,-68.293,134.268,-11.402
1.52579E+12,2018-05-08T20:23:04.908,22.825,-22.134,119.573,19.451
1.52579E+12,2018-05-08T20:23:04.928,22.845,11.829,119.024,51.951
1.52579E+12,2018-05-08T20:23:04.948,22.865,-0.366,126.585,56.28
1.52579E+12,2018-05-08T20:23:04.967,22.884,-29.451,146.89,13.841
1.52579E+12,2018-05-08T20:23:04.988,22.905,2.927,121.098,43.049
1.52579E+12,2018-05-08T20:23:05.007,22.924,19.817,117.256,53.171
1.52579E+12,2018-05-08T20:23:05.027,22.944,2.561,140.549,29.146
1.52579E+12,2018-05-08T20:23:05.046,22.963,2.073,138.598,12.622
1.52579E+12,2018-05-08T20:23:05.067,22.984,-27.866,112.134,3.415
1.52579E+12,2018-05-08T20:23:05.086,23.003,-31.829,73.72,-11.28
1.52579E+12,2018-05-08T20:23:05.106,23.023,-34.329,57.927,-11.463
1.52579E+12,2018-05-08T20:23:05.125,23.042,-39.573,44.939,10.183
1.52579E+12,2018-05-08T20:23:05.144,23.061,-41.524,1.768,31.524
